"","X","index","UNITID","UGDS_BLACK","UGDS_HISP","COMPL_RPY_5YR_RT","NPT4_PUB","ADM_RATE","RET_FT4","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","grad_total","C150_4_BLACK","C150_4_HISP","resid"
"2011",2011,2011,176637,1.0741111607947,-0.667617535462208,-0.590438633562862,1.0066525062704,-0.343496165075147,1.49719772837354,0.423997127382959,1.18883765400421,0.408340332810745,0.797586420146985,-0.261059974962282,-1.74316849389431,2.63071798180644
"1923",1923,1923,174154,-0.438985989711516,-0.677051564269091,0.293187317366332,0.453245900274575,1.47722324267701,1.49719772837354,-0.126500127242396,0.229738360420171,0.648520320572669,1.59963289888843,-0.0341235409108177,-1.74316849389431,2.60906209698864
"1764",1764,1764,168546,-0.677966333776763,-0.56294473965251,1.35590781021663,0.969845439408629,-0.399496209950805,0.655366436031262,2.3790306041566,-1.24763747805861,0.826939740052955,2.21860850049873,0.180027741926479,-1.74316849389431,2.32969073238532
"5945",5945,5945,450216,1.78615687867998,-0.609216404752935,-0.590438633562862,0.911448361596144,1.21588969992394,1.49719772837354,0.423997127382959,0.937444761177384,0.408340332810745,0.538225796990639,-0.866356977758,-1.74316849389431,2.27443219014062
"1229",1229,1229,152099,-0.548908047410056,-0.633475335970633,1.0011056116928,0.447523246769565,-0.674710105707244,-0.0418150349795895,-0.10401555591665,-1.80707518322254,0.0789506353086774,1.57470844833707,0.715006413044279,-1.74316849389431,2.14315515267434
"2927",2927,2927,203960,-0.483488847079346,-0.543627442571751,0.83878522027956,0.568219211602496,-0.578983533270222,-0.693505926137093,1.25658206643257,-0.299603012503922,0.737730030312812,2.16473645222674,1.13132289945559,-1.74316849389431,2.111585030024
"3282",3282,3282,213598,2.76076945503545,-0.659980464523303,-0.785502831020785,-0.0770099710873424,-2.00913852547933,0.2617962507832,2.56640203187115,0.422266368130858,0.0446392084855453,0.921231943054749,0.104515442567806,-1.74316849389431,2.09653104787505
"2017",2017,2017,176910,-0.691317190987112,-0.619548912493806,0.543516698946532,-0.543536292052561,-1.27970204350922,0.325687514622172,-0.469015097104598,0.400136712072158,-0.305337345110401,1.25207255614494,-1.53238344882101,-1.74316849389431,2.05680321302141
"3417",3417,3417,216807,-0.705113076771139,-0.68513787467499,1.46510799232832,0.789711914307756,1.17377000805165,0.59403082274585,2.56640203187115,-0.922331533995728,0.730867744948186,2.33902255625809,-0.333775522492856,-1.74316849389431,2.0543058350778
"42",42,42,101912,2.94367619881723,-0.623142828229761,-0.355654930472528,1.2035638109655,-1.01788986789397,0.289397276761636,2.28534489029932,-0.114599087853194,0.0720883499440509,1.0841677507754,0.210792012035569,-1.74316849389431,2.01817508668791
