"","UNITID","C150_4_WHITE","C150_4_ASIAN","C150_4_BLACK","C150_4_HISP","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","COMPL_RPY_3YR_RT","COMPL_RPY_5YR_RT","COMPL_RPY_7YR_RT","ADM_RATE","RET_FT4","NPT4_PRIV","NPT4_PUB","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","MD_EARN_WNE_P6","MD_EARN_WNE_P8"
"1",100654,0.1429,NA,0.3581,0,0.0333,0.9353,0.0019,0.0055,"0.6030640669","0.6903485255","0.7740524781",0.5256,0.6595,NA,15229,"15000",0.7356,"30300","22000","26600"
"2",100663,0.5506,0.7143,0.5221,0.6071,0.5922,0.26,0.0518,0.0283,"0.8648785425","0.8909405655","0.9139026112",0.8569,0.8288,NA,14789,"14382",0.346,"39700","33300","36900"
"3",100690,NA,NA,0.1667,NA,0.299,0.4192,0.0034,0.0069,"0.6857142857","0.72","PrivacySuppressed",NA,0,12992,NA,"9500",0.6801,"40100","35200","36400"
"4",100706,0.4792,0.65,0.3028,0.5,0.6988,0.1255,0.0376,0.0382,"0.9046673287","0.9067164179","0.9266055046",0.8203,0.7696,NA,18596,"15750",0.3072,"45500","35900","40900"
"5",100724,0.4444,0,0.2599,0,0.0158,0.9208,0.0019,0.0121,"0.4444444444","0.608137045","0.6995153473",0.5326,0.5725,NA,11110,"14362",0.7347,"26600","20300","23000"
"6",100751,0.6652,0.5909,0.6016,0.6321,0.7825,0.1119,0.0106,0.0348,"0.9113300493","0.9169918411","0.9247034554",0.5105,0.867,NA,20787,"17375",0.204,"41900","33200","38300"
"7",100760,NA,NA,NA,NA,0.7255,0.2613,0.0025,0.0044,"0.5806451613","0.603960396","0.6111111111",NA,NA,NA,6922,"6506",0.5892,"27500","23800","24200"
"8",100812,NA,NA,NA,NA,0.7823,0.12,0.0053,0.0191,"0.835117773","0.8678526048","0.8691437803",NA,NA,NA,NA,"12750",0.4088,"39000","33600","35800"
"9",100830,0.2623,0.3333,0.15,0,0.5328,0.3376,0.0221,0.0074,"0.8211829436","0.8239202658","0.8664323374",0.8017,0.652,NA,13431,"9500",0.4192,"35000","28300","31200"
"10",100858,0.7203,0.6622,0.6044,0.6458,0.8507,0.0704,0.0227,0.0248,"PrivacySuppressed","0.9140625","0.9544282029",0.8347,0.9052,NA,18644,"17500",0.161,"45700","36400","41400"
"11",100937,0.6685,0.7273,0.4,0.375,0.7983,0.1102,0.0517,0.0195,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.5339,0.8371,18728,NA,"21500",0.192,"44200","26600","36700"
"12",101028,NA,NA,NA,NA,0.4661,0.4372,0.0127,0.0492,"0.5535714286","0.5631067961","0.65",NA,NA,NA,1315,"5500",0.6369,"26100","21000","24500"
"13",101073,0,NA,0.242,0,0.028,0.8758,0.0093,0.0373,"0.4347826087","PrivacySuppressed",NA,0.5328,0.5238,12329,NA,"9500",0.8667,"19900","19300","19100"
"14",101116,0.2353,NA,0,NA,0.3046,0.6054,0.0153,0.0153,"0.6391375102","0.6945606695","0.7522255193",NA,0.5,23048,NA,"9500",0.6845,"28800","31300","31200"
"15",101143,NA,NA,NA,NA,0.6408,0.2435,0.0202,0.0509,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,NA,3762,"5774",0.4895,"24600","24700","28100"
"16",101161,NA,NA,NA,NA,0.6979,0.2259,0.0084,0.032,"0.7614213198","0.7409326425","0.8083333333",NA,NA,NA,6675,"5500",0.4725,"28700","23700","25900"
"17",101189,0.3464,0,0.1837,0.3333,0.3874,0.5137,0.0042,0.0258,"0.738372093","PrivacySuppressed","PrivacySuppressed",NA,0.6028,20240,NA,"15500",0.5812,"37200","29100","33600"
"18",101240,NA,NA,NA,NA,0.6921,0.2076,0.0047,0.0305,NA,NA,NA,NA,NA,NA,4352,"PrivacySuppressed",0.5734,"25700","20000","23400"
"19",101277,NA,NA,NA,NA,0.8957,0.0348,0,0.0696,NA,NA,NA,NA,NA,9991,NA,"5500",0.8224,NA,NA,NA
"20",101286,NA,NA,NA,NA,0.6273,0.324,0.0072,0.0221,NA,NA,"PrivacySuppressed",NA,NA,NA,3115,"PrivacySuppressed",0.5501,"26600","20700","22400"
"21",101295,NA,NA,NA,NA,0.863,0.0612,0.0065,0.0362,"0.7738515901","0.7347560976","0.7483221477",NA,NA,NA,7817,"8000",0.5026,"28800","25500","28500"
"22",101301,NA,NA,NA,NA,0.1956,0.7449,0.004,0.0026,NA,NA,NA,NA,NA,NA,7207,"PrivacySuppressed",0.7645,"24200","20100","21100"
"23",101365,0.4,NA,0.3846,1,0.3543,0.5265,0.0066,0.0166,"0.6854599407","0.7536","0.8244897959",1,0,22103,NA,"10628",0.6541,"42300","28600","34100"
"24",101435,0.4592,NA,0.4286,0.25,0.6388,0.1993,0.0078,0.0252,"0.8771331058","0.8341463415","PrivacySuppressed",0.5839,0.705,19040,NA,"16701.5",0.3982,"36500","29900","34700"
"25",101453,0.5,NA,NA,NA,0.7419,0.1129,0,0.0484,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1,0.5714,10369,NA,"9875",0.6087,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"26",101462,NA,NA,NA,NA,0.3337,0.5965,0.0082,0.0246,NA,NA,NA,NA,NA,NA,10048,"PrivacySuppressed",0.5763,"22300","18300","20900"
"27",101480,0.3478,0.375,0.2199,0.2143,0.6834,0.2382,0.0055,0.0132,"0.8151693667","0.8438697318","PrivacySuppressed",0.8326,0.718,NA,17974,"15871",0.4428,"34600","26000","31300"
"28",101499,NA,NA,NA,NA,0.5857,0.2982,0.0252,0.0077,NA,NA,NA,NA,NA,NA,3888,"PrivacySuppressed",0.5765,"25400","22700","21800"
"29",101505,NA,NA,NA,NA,0.6696,0.2246,0.0183,0.0486,"0.7961956522","0.8074074074","0.8266666667",NA,NA,NA,9207,"4500",0.3372,"29400","26600","27000"
"30",101514,NA,NA,NA,NA,0.6528,0.194,0.0257,0.0435,"0.7407407407","0.7671232877","0.8043478261",NA,NA,NA,5686,"5500",0.3933,"27400","23700","25400"
"31",101541,0.4737,NA,0.3,0.25,0.7553,0.1622,0.0106,0.016,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.6525,0.5606,11592,NA,"16797.5",0.4784,"29300","21200","24000"
"32",101569,NA,NA,NA,NA,0.1511,0.7384,0.0055,0.0093,NA,NA,NA,NA,NA,NA,7387,"PrivacySuppressed",0.7153,"23800","19600","20500"
"33",101587,0.3896,0,0.2759,0.3333,0.4421,0.4055,0.0016,0.0224,"0.7100840336","0.7455621302","0.8317307692",0.7199,0.6451,NA,13092,"12500",0.5323,"33900","26500","33100"
"34",101602,NA,NA,NA,NA,0.692,0.2728,0.0057,0.0122,NA,NA,NA,NA,NA,NA,7748,"PrivacySuppressed",0.5892,"25200","20600","24400"
"35",101648,NA,NA,NA,NA,0.5727,0.2263,0.0346,0.1016,"0.7882352941","0.7222222222","0.6904761905",0.6139,NA,NA,10679,"5500",0.378,"44500","31200","38900"
"36",101675,0,NA,0.2143,0,0.0169,0.9719,0,0.0028,"0.5039370079","PrivacySuppressed","0.5",NA,0.5236,16694,NA,"12250",0.8452,"25700","19900","21700"
"37",101693,0.4335,0.25,0.2174,0,0.6479,0.211,0.0048,0.0158,"0.8047337278","0.7723342939","0.858778626",0.5847,0.7713,19017,NA,"21950",0.4909,"35000","29600","31500"
"38",101709,0.4346,0.4,0.5714,0.5833,0.7266,0.1384,0.0064,0.031,"0.8560311284","0.8834951456","0.9107551487",0.743,0.7881,NA,16877,"15110",0.3972,"34900","26700","29900"
"39",101736,NA,NA,NA,NA,0.7912,0.125,0.0036,0.0339,"0.738372093","0.7232142857","0.7222222222",NA,NA,NA,6513,"4750",0.5278,"25200","20400","23500"
"40",101879,0.4789,0.5,0.2143,0.4545,0.7123,0.1384,0.0047,0.0272,"0.8785249458","0.8748387097","0.8988764045",0.6788,0.723,NA,11294,"12638",0.4051,"36100","27200","33000"
"41",101897,NA,NA,NA,NA,0.867,0.0225,0.0054,0.0665,"0.7276995305","0.8","0.7307692308",NA,NA,NA,3049,"3500",0.5893,"28300","21500","25200"
"42",101912,NA,NA,0.4363,0,0.0059,0.8514,0.0016,0.0234,"0.6732026144","0.6333333333","0.8098591549",0.4787,0.7637,24992,NA,"23500",0.5062,"33900","22300","25400"
"43",101949,NA,NA,NA,NA,0.5441,0.4203,0.0042,0.0059,NA,NA,NA,NA,NA,NA,4703,"PrivacySuppressed",0.5841,"22400","18900","22000"
"44",101958,NA,NA,NA,NA,0.7976,0.131,0,0.0714,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,21801,NA,"15834",0.7857,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"45",101994,NA,NA,NA,NA,0.5106,0.4588,0.0024,0.0071,NA,NA,NA,NA,NA,NA,3799,"PrivacySuppressed",0.5493,"20100","20100","20900"
"46",102030,NA,NA,NA,NA,0.2504,0.671,0.0157,0.0191,"PrivacySuppressed",NA,NA,NA,NA,NA,4805,"PrivacySuppressed",0.6327,"21800","18400","19400"
"47",102049,0.6721,0.6667,0.5306,0.5714,0.8183,0.0656,0.0092,0.06,"PrivacySuppressed","0.9616368286","0.9705159705",0.5954,0.8795,26733,NA,"17250",0.1391,"45800","36300","41600"
"48",102058,0,NA,0.221,0,0.0106,0.9703,0,0,"PrivacySuppressed","PrivacySuppressed",NA,NA,0.3474,9459,NA,"5050",0.8247,NA,NA,NA
"49",102067,NA,NA,NA,NA,0.5613,0.3466,0.0084,0.0036,NA,"PrivacySuppressed","PrivacySuppressed",NA,NA,NA,8924,"PrivacySuppressed",0.4852,"24700","20100","22700"
"50",102076,NA,NA,NA,NA,0.7827,0.0648,0.0076,0.0825,NA,NA,NA,NA,NA,NA,4743,"3500",0.5865,"26500","21300","25800"
"51",102094,0.4038,0.4815,0.2917,0.4048,0.6149,0.2374,0.0345,0.0276,"0.8523316062","0.8586102719","0.8780313837",0.8335,0.7107,NA,14327,"13000",0.3906,"37300","30200","33200"
"52",102234,0.6325,0.75,0.4138,0.7,0.6733,0.1556,0.0107,0.0626,"0.9137931034","0.9433962264","0.9304812834",0.5177,0.7262,19713,NA,"20500",0.2307,"42800","34600","37600"
